Text,Speaker,Episode,Season,Show,sentiment_score,sentiment_label,mapped,bracket,accumulative_sentiment,average_sentiment
 You did well.,JON,e1-Winter is Coming,season-01,Game-of-Thrones,4.546950340270996,POSITIVE,jon snow,,13.128497838973999,0.6666666666666666
 Jon said he was a deserter.,BRAN,e1-Winter is Coming,season-01,Game-of-Thrones,3.4213128089904785,NEGATIVE,bran stark,,-3.4213128089904785,-1.0
 Our way is the old way?,BRAN,e1-Winter is Coming,season-01,Game-of-Thrones,2.1611993312835693,NEGATIVE,bran stark,,-5.582512140274048,-1.0
 Is it true he saw the White Walkers?,BRAN,e1-Winter is Coming,season-01,Game-of-Thrones,1.1996606588363647,POSITIVE,bran stark,,-4.382851481437683,-0.3333333333333333
 So he was lying?,BRAN,e1-Winter is Coming,season-01,Game-of-Thrones,2.6957271099090576,NEGATIVE,bran stark,,-7.078578591346741,-0.5
 What is it?,JON,e1-Winter is Coming,season-01,Game-of-Thrones,3.0245490074157715,NEGATIVE,jon snow,,10.103948831558228,0.42857142857142855
 Mountain lion?,THEON,e1-Winter is Coming,season-01,Game-of-Thrones,2.108832359313965,NEGATIVE,theon greyjoy,,-2.108832359313965,-1.0
 It’s a freak.,THEON,e1-Winter is Coming,season-01,Game-of-Thrones,0.8203969597816467,POSITIVE,theon greyjoy,,-1.2884353995323181,0.0
 There are no direwolves south of the Wall.,ROBB,e1-Winter is Coming,season-01,Game-of-Thrones,1.489119529724121,NEGATIVE,robb stark,,-2.337663412094116,-0.3333333333333333
 Now there are five.,JON,e1-Winter is Coming,season-01,Game-of-Thrones,3.0395963191986084,POSITIVE,jon snow,,13.143545150756836,0.5
 You want to hold it?,JON,e1-Winter is Coming,season-01,Game-of-Thrones,2.765050172805786,POSITIVE,jon snow,,15.908595323562622,0.5555555555555556
 Where will they go? Their mother’s dead.,BRAN,e1-Winter is Coming,season-01,Game-of-Thrones,4.060621738433838,NEGATIVE,bran stark,,-11.139200329780579,-0.6
 Right. Give it here.,THEON,e1-Winter is Coming,season-01,Game-of-Thrones,4.263149261474609,POSITIVE,theon greyjoy,,2.9747138619422913,0.3333333333333333
 NO!,BRAN,e1-Winter is Coming,season-01,Game-of-Thrones,3.3754255771636963,NEGATIVE,bran stark,,-14.514625906944275,-0.6666666666666666
 Put away your blade.,ROBB (disgustedly to THEON),e1-Winter is Coming,season-01,Game-of-Thrones,0.2170492112636566,NEGATIVE,robb stark,disgustedly to THEON,-2.554712623357773,-0.5
" I take orders from your father, not you.",THEON,e1-Winter is Coming,season-01,Game-of-Thrones,1.4863420724868774,NEGATIVE,theon greyjoy,,1.4883717894554138,0.0
" Please, father!",BRAN,e1-Winter is Coming,season-01,Game-of-Thrones,3.470585584640503,POSITIVE,bran stark,,-11.044040322303772,-0.42857142857142855
 Lord Stark? There are five pups. One for each of the Stark children. The direwolf is the sigil of your House. They were meant to have them.,JON,e1-Winter is Coming,season-01,Game-of-Thrones,1.6528205871582031,NEGATIVE,jon snow,,14.255774736404419,0.4
 What about you?,BRAN (to JON),e1-Winter is Coming,season-01,Game-of-Thrones,0.9732781052589417,NEGATIVE,bran stark,to JON,-12.017318427562714,-0.5
 I’m not a Stark. Get on.,JON,e1-Winter is Coming,season-01,Game-of-Thrones,3.43576455116272,NEGATIVE,jon snow,,10.8200101852417,0.2727272727272727
 What is it?,ROBB,e1-Winter is Coming,season-01,Game-of-Thrones,3.0245490074157715,NEGATIVE,robb stark,,-5.579261630773544,-0.6
" The runt of the litter. That one’s yours, Snow.",THEON,e1-Winter is Coming,season-01,Game-of-Thrones,2.201218843460083,NEGATIVE,theon greyjoy,,-0.7128470540046692,-0.2
" As your brother, I feel it’s my duty to warn you: You worry too much. It’s starting to show.",JAIME,e1-Winter is Coming,season-01,Game-of-Thrones,3.272022485733032,NEGATIVE,jaime lannister,,-3.272022485733032,-1.0
" And you never worry about anything. When we were seven, you jumped off the cliffs as Casterly Rock. One hundred foot drop into the water. And you were never afraid.",CERSEI,e1-Winter is Coming,season-01,Game-of-Thrones,3.697037935256958,POSITIVE,cersei lannister,,3.697037935256958,1.0
" There was nothing to be afraid of until you told father. [In a whisper, mimicking] We’re Lannisters. Lannisters don’t act like fools.",JAIME,e1-Winter is Coming,season-01,Game-of-Thrones,1.7953745126724243,POSITIVE,jaime lannister,,-1.4766479730606075,0.0
 What if Jon Arryn told someone?,CERSEI,e1-Winter is Coming,season-01,Game-of-Thrones,3.501983642578125,NEGATIVE,cersei lannister,,0.195054292678833,0.0
 But who would he tell?,JAIME,e1-Winter is Coming,season-01,Game-of-Thrones,3.636604070663452,NEGATIVE,jaime lannister,,-5.11325204372406,-0.3333333333333333
 My husband.,CERSEI,e1-Winter is Coming,season-01,Game-of-Thrones,2.823971509933472,POSITIVE,cersei lannister,,3.019025802612305,0.3333333333333333
" If he told the king, both our heads would be skewered on the city gates by now. Whatever Jon Arryn knew or didn’t know, it died with him. And Robert will choose a new Hand of the king, someone to do his job while he’s off fucking boars and hunting whores. Or is it the other way around? And life will go on.",JAIME,e1-Winter is Coming,season-01,Game-of-Thrones,2.6501314640045166,NEGATIVE,jaime lannister,,-7.763383507728577,-0.5
 You should be the Hand of the king.,CERSEI,e1-Winter is Coming,season-01,Game-of-Thrones,3.1027255058288574,POSITIVE,cersei lannister,,6.121751308441162,0.5
" That’s an honor I can do without. Their days are too long, their lives are too short.",JAIME,e1-Winter is Coming,season-01,Game-of-Thrones,3.5237205028533936,NEGATIVE,jaime lannister,,-11.28710401058197,-0.6
 All these years and I still feel like an outsider when I come here.,CATELYN,e1-Winter is Coming,season-01,Game-of-Thrones,1.232161283493042,POSITIVE,catelyn stark,,-3.1647491455078125,-0.3333333333333333
 I wonder if the old gods agree.,CATELYN,e1-Winter is Coming,season-01,Game-of-Thrones,1.859274864196777,POSITIVE,catelyn stark,,-1.3054742813110356,0.0
" I am so sorry, my love.",CATELYN,e1-Winter is Coming,season-01,Game-of-Thrones,3.638277292251587,NEGATIVE,catelyn stark,,-4.943751573562622,-0.2
 There was a raven from Kings Landing. Jon Arryn is dead. A fever took him. I know he was like a father to you.,CATELYN,e1-Winter is Coming,season-01,Game-of-Thrones,0.5691093802452087,NEGATIVE,catelyn stark,,-5.512860953807831,-0.3333333333333333
 They both have their health. Gods be good. [pause] The raven brought more news. The king rides for Winterfell. With the queen and all the rest of them.,CATELYN,e1-Winter is Coming,season-01,Game-of-Thrones,2.2471091747283936,POSITIVE,catelyn stark,,-3.2657517790794373,-0.14285714285714285
" You can always say no, Ned.",CATELYN,e1-Winter is Coming,season-01,Game-of-Thrones,1.7645645141601562,NEGATIVE,catelyn stark,,-5.0303162932395935,-0.25
 We need plenty of candles for Lord Tyrion’s chamber. I’m told he reads all night.,CATELYN,e1-Winter is Coming,season-01,Game-of-Thrones,0.6672029495239258,POSITIVE,catelyn stark,,-4.363113343715668,-0.1111111111111111
 How much could he possibly drink? A man of his … stature.,CATELYN,e1-Winter is Coming,season-01,Game-of-Thrones,0.2394613921642303,POSITIVE,catelyn stark,,-4.123651951551437,0.0
 We’ve brought up eight barrels of ale from the cellar. Perhaps we’ll find out.,LUWIN,e1-Winter is Coming,season-01,Game-of-Thrones,2.329749822616577,NEGATIVE,luwin,,-2.329749822616577,-1.0
" In any case, candles.",CATELYN,e1-Winter is Coming,season-01,Game-of-Thrones,2.3460853099823,POSITIVE,catelyn stark,,-1.7775666415691376,0.09090909090909091
 Why’s your mother so dead-set on us getting pretty for the king?,JON,e1-Winter is Coming,season-01,Game-of-Thrones,3.494372606277466,NEGATIVE,jon snow,,7.325637578964233,0.16666666666666666
" It’s for the queen, I bet. I hear she’s [sleek as a mink?]",THEON,e1-Winter is Coming,season-01,Game-of-Thrones,2.461888313293457,POSITIVE,theon greyjoy,,1.7490412592887878,0.0
 I hear the prince is a right royal prick.,ROBB,e1-Winter is Coming,season-01,Game-of-Thrones,2.3544132709503174,POSITIVE,robb stark,,-3.224848359823227,-0.3333333333333333
 Think of all those southern girls he gets to stab with his right royal prick.,THEON,e1-Winter is Coming,season-01,Game-of-Thrones,2.6781790256500244,NEGATIVE,theon greyjoy,,-0.9291377663612366,-0.14285714285714285
" Go on, Tommy, shave him good. He’s never met a girl he likes better than his own hair.",ROBB,e1-Winter is Coming,season-01,Game-of-Thrones,2.9801926612854004,POSITIVE,robb stark,,-0.24465569853782654,-0.14285714285714285
" Gods, but they grow fast. [Seeing BRAN on the wall] Brandon!",CATELYN,e1-Winter is Coming,season-01,Game-of-Thrones,2.6768527030944824,POSITIVE,catelyn stark,,0.8992860615253448,0.16666666666666666
 I saw the king! He’s got hundreds of people!,BRAN,e1-Winter is Coming,season-01,Game-of-Thrones,4.040683746337891,POSITIVE,bran stark,,-7.976634681224823,-0.3333333333333333
 How many times have I told you: No climbing!,CATELYN,e1-Winter is Coming,season-01,Game-of-Thrones,3.1960036754608154,NEGATIVE,catelyn stark,,-2.2967176139354706,0.07692307692307693
 But he’s coming right now! Down our road!,BRAN,e1-Winter is Coming,season-01,Game-of-Thrones,2.1011674404144287,POSITIVE,bran stark,,-5.875467240810394,-0.2
 I want you to promise me: No more climbing.,CATELYN,e1-Winter is Coming,season-01,Game-of-Thrones,1.0939995050430298,NEGATIVE,catelyn stark,,-3.3907171189785004,0.0
 I promise.,BRAN (looking down),e1-Winter is Coming,season-01,Game-of-Thrones,4.485586166381836,POSITIVE,bran stark,looking down,-1.3898810744285583,-0.09090909090909091
 D’you know what?,CATELYN,e1-Winter is Coming,season-01,Game-of-Thrones,1.39551043510437,NEGATIVE,catelyn stark,,-4.7862275540828705,-0.06666666666666667
 What?,BRAN,e1-Winter is Coming,season-01,Game-of-Thrones,2.787653684616089,NEGATIVE,bran stark,,-4.177534759044647,-0.16666666666666666
 You always look at your feet before you lie. Run and find your father. Tell him the king is close.,CATELYN,e1-Winter is Coming,season-01,Game-of-Thrones,3.2568039894104004,POSITIVE,catelyn stark,,-1.52942356467247,0.0
" Where’s Arya? Sansa, where’s your sister?",CATELYN,e1-Winter is Coming,season-01,Game-of-Thrones,3.083854913711548,NEGATIVE,catelyn stark,,-4.613278478384018,-0.058823529411764705
 Move!,ARYA (pushing BRAN),e1-Winter is Coming,season-01,Game-of-Thrones,4.409157752990723,POSITIVE,arya stark,pushing BRAN,4.409157752990723,1.0
 You’ve got fat.,ROBERT,e1-Winter is Coming,season-01,Game-of-Thrones,2.598299741744995,NEGATIVE,robert baratheon,,-2.598299741744995,-1.0
 Cat!,ROBERT,e1-Winter is Coming,season-01,Game-of-Thrones,3.277362585067749,POSITIVE,robert baratheon,,0.6790628433227539,0.0
 Your Grace.,CATELYN,e1-Winter is Coming,season-01,Game-of-Thrones,4.572968482971191,POSITIVE,catelyn stark,,-0.04030999541282654,0.0
 Nine years. Why haven’t I seen you? Where the hell have you been?,ROBERT,e1-Winter is Coming,season-01,Game-of-Thrones,3.220850706100464,NEGATIVE,robert baratheon,,-2.54178786277771,-0.3333333333333333
 Where’s the Imp?,ARYA,e1-Winter is Coming,season-01,Game-of-Thrones,3.085188627243042,NEGATIVE,arya stark,,1.3239691257476807,0.0
 Will you shut up?,SANSA,e1-Winter is Coming,season-01,Game-of-Thrones,3.8317694664001465,NEGATIVE,sansa stark,,0.7403469085693359,0.0
" Who have we here? You must be Robb. (To Sansa) My, you’re a pretty one. (To Arya) Your name is?",ROBERT,e1-Winter is Coming,season-01,Game-of-Thrones,2.376930952072144,POSITIVE,robert baratheon,,-0.16485691070556596,0.0
 Arya.,ARYA,e1-Winter is Coming,season-01,Game-of-Thrones,0.2655673027038574,NEGATIVE,arya stark,,1.0584018230438232,-0.3333333333333333
 That’s Jaime Lannister. The queen’s twin brother.,ARYA,e1-Winter is Coming,season-01,Game-of-Thrones,2.1799538135528564,POSITIVE,arya stark,,3.2383556365966797,0.0
 Would you please shut up.,SANSA,e1-Winter is Coming,season-01,Game-of-Thrones,3.703840494155884,NEGATIVE,sansa stark,,-2.963493585586548,-0.3333333333333333
 My queen.,CATELYN,e1-Winter is Coming,season-01,Game-of-Thrones,2.9471116065979004,POSITIVE,catelyn stark,,2.906801611185074,0.05263157894736842
 Take me to your crypt. I want to pay my respects.,ROBERT,e1-Winter is Coming,season-01,Game-of-Thrones,3.743324041366577,POSITIVE,robert baratheon,,3.578467130661011,0.2
" We’ve been riding for a month, my love. Surely the dead can wait.",CERSEI,e1-Winter is Coming,season-01,Game-of-Thrones,2.795671463012696,NEGATIVE,cersei lannister,,3.326079845428466,0.2
 Ned.,ROBERT,e1-Winter is Coming,season-01,Game-of-Thrones,1.5736336708068848,POSITIVE,robert baratheon,,5.1521008014678955,0.3333333333333333
 Where’s the Imp?,ARYA,e1-Winter is Coming,season-01,Game-of-Thrones,3.085188627243042,NEGATIVE,arya stark,,0.1531670093536377,-0.2
 Where is our brother? Go find the little beast.,CERSEI,e1-Winter is Coming,season-01,Game-of-Thrones,0.7252396941184998,NEGATIVE,cersei lannister,,2.600840151309966,0.0
" One minute he was fine, and then … Burned right through him, whatever it was. I loved that man.",ROBERT,e1-Winter is Coming,season-01,Game-of-Thrones,3.7829437255859375,POSITIVE,robert baratheon,,8.935044527053833,0.42857142857142855
" He never had to teach you much, but me … You remember me at 16? All I wanted to do was crack skulls and fuck girls. He showed me what was what.",ROBERT,e1-Winter is Coming,season-01,Game-of-Thrones,1.8619282245635984,POSITIVE,robert baratheon,,10.796972751617432,0.5
" Don’t look at me like that. Not his fault I didn’t listen. (They laugh. ROBERT sighs.) I need you, Ned. Down at Kings Landing. Not up here, where you’re no damn use to anybody. Lord Eddard Stark, I would name you the Hand of the king.",ROBERT,e1-Winter is Coming,season-01,Game-of-Thrones,0.6399384140968323,NEGATIVE,robert baratheon,,10.1570343375206,0.3333333333333333
" I’m not trying to honor you. I’m trying to get you to run my kingdom while I eat, drink, and whore my way to an early grave. Damn it, Ned, stand up. You helped me win the Iron Throne, now help me keep the damn thing. We were meant to rule together. If your sister had lived, we would have been bound by blood. Well, it’s not too late. I have a son, you have a daughter. We’ll join our Houses.",ROBERT,e1-Winter is Coming,season-01,Game-of-Thrones,2.2964770793914795,POSITIVE,robert baratheon,,12.453511416912079,0.4
 Mmh. It is true what they say about the Northern girls.,TYRION,e1-Winter is Coming,season-01,Game-of-Thrones,4.153500556945801,POSITIVE,tyrion lannister,,4.153500556945801,1.0
 Did you hear the king’s in Winterfell?,ROS,e1-Winter is Coming,season-01,Game-of-Thrones,1.618251085281372,NEGATIVE,ros,,-1.618251085281372,-1.0
 I did hear something about that.,TYRION,e1-Winter is Coming,season-01,Game-of-Thrones,3.050588130950928,POSITIVE,tyrion lannister,,7.2040886878967285,1.0
 And the queen. And her twin brother. They say that he is the most handsome man in the Seven Kingdoms.,ROS,e1-Winter is Coming,season-01,Game-of-Thrones,4.139533996582031,POSITIVE,ros,,2.521282911300659,0.0
 And the other brother?,TYRION,e1-Winter is Coming,season-01,Game-of-Thrones,1.4918948411941528,NEGATIVE,tyrion lannister,,5.712193846702576,0.3333333333333333
 The queen has two brothers?,ROS,e1-Winter is Coming,season-01,Game-of-Thrones,1.4133795499801636,NEGATIVE,ros,,1.1079033613204956,-0.3333333333333333
 There’s the pretty one. And there’s the clever one.,TYRION,e1-Winter is Coming,season-01,Game-of-Thrones,4.435381889343262,POSITIVE,tyrion lannister,,10.147575736045837,0.5
 I hear they call him the Imp.,ROS,e1-Winter is Coming,season-01,Game-of-Thrones,2.2479097843170166,NEGATIVE,ros,,-1.140006422996521,-0.5
 I hear he hates that nickname.,TYRION,e1-Winter is Coming,season-01,Game-of-Thrones,4.027625560760498,NEGATIVE,tyrion lannister,,6.119950175285339,0.2
 Oh? I hear he’s more than earned it. I hear he’s a drunken little lecher into all manner of perversions.,ROS,e1-Winter is Coming,season-01,Game-of-Thrones,1.8009096384048462,NEGATIVE,ros,,-2.940916061401367,-0.6
 Clever girl.,TYRION,e1-Winter is Coming,season-01,Game-of-Thrones,4.621602535247803,POSITIVE,tyrion lannister,,10.741552710533142,0.3333333333333333
" We’ve been expecting you, Lord Tyrion.",ROS,e1-Winter is Coming,season-01,Game-of-Thrones,2.645723581314087,POSITIVE,ros,,-0.2951924800872803,-0.3333333333333333
 Have you?,TYRION,e1-Winter is Coming,season-01,Game-of-Thrones,2.3654463291168213,POSITIVE,tyrion lannister,,13.106999039649963,0.42857142857142855
 The gods gave me one blessing.,TYRION,e1-Winter is Coming,season-01,Game-of-Thrones,4.143529891967773,POSITIVE,tyrion lannister,,17.250528931617737,0.5
 Don’t get up.,JAIME,e1-Winter is Coming,season-01,Game-of-Thrones,3.3754711151123047,NEGATIVE,jaime lannister,,-14.662575125694275,-0.6666666666666666
 M’lord.,ROS,e1-Winter is Coming,season-01,Game-of-Thrones,2.62398648262024,POSITIVE,ros,,2.32879400253296,-0.14285714285714285
" Should I explain to you the meaning of a closed door in a whorehouse, brother?",TYRION,e1-Winter is Coming,season-01,Game-of-Thrones,3.443733930587769,NEGATIVE,tyrion lannister,,13.806795001029968,0.3333333333333333
" You’ve much to teach me, no doubt. But our sister craves your attention.",JAIME,e1-Winter is Coming,season-01,Game-of-Thrones,2.7275986671447754,NEGATIVE,jaime lannister,,-17.39017379283905,-0.7142857142857143
" She has odd cravings, our sister.",TYRION,e1-Winter is Coming,season-01,Game-of-Thrones,0.4678074419498443,NEGATIVE,tyrion lannister,,13.338987559080124,0.2
" A family trait. Now, the Starks are feasting us at sundown. Don’t leave me alone with these people.",JAIME,e1-Winter is Coming,season-01,Game-of-Thrones,2.6675961017608643,POSITIVE,jaime lannister,,-14.722577691078186,-0.5
" I’m sorry, I’ve begun the feast a bit early. And this is the first of many courses.",TYRION,e1-Winter is Coming,season-01,Game-of-Thrones,1.964065790176392,NEGATIVE,tyrion lannister,,11.374921768903732,0.09090909090909091
" I thought you might say that. But since we’re short on time, (he opens the door; a bevy of whores enter and descend on TYRION) Come on, girls. See you at sundown.",JAIME,e1-Winter is Coming,season-01,Game-of-Thrones,2.850822687149048,POSITIVE,jaime lannister,,-11.871755003929138,-0.3333333333333333
 Close the door!,TYRION,e1-Winter is Coming,season-01,Game-of-Thrones,1.1327332258224487,NEGATIVE,tyrion lannister,,10.242188543081284,0.0
 Did you have to bury her in a place like this? She should be on a hill somewhere with the sun and the clouds above her.,ROBERT,e1-Winter is Coming,season-01,Game-of-Thrones,2.40732216835022,NEGATIVE,robert baratheon,,10.04618924856186,0.2727272727272727
 She belonged with me.,ROBERT,e1-Winter is Coming,season-01,Game-of-Thrones,3.739303350448608,POSITIVE,robert baratheon,,13.785492599010468,0.3333333333333333
" In my dreams, I kill him every night.",ROBERT,e1-Winter is Coming,season-01,Game-of-Thrones,2.451080083847046,NEGATIVE,robert baratheon,,11.334412515163422,0.23076923076923078
 Not all of them.,ROBERT,e1-Winter is Coming,season-01,Game-of-Thrones,3.713167190551758,NEGATIVE,robert baratheon,,7.621245324611664,0.14285714285714285
 Daenerys!,VISERYS (off camera),e1-Winter is Coming,season-01,Game-of-Thrones,3.158883810043335,POSITIVE,viserys targaryen,off camera,3.158883810043335,1.0
 Daenerys! There’s our bride to be! Look – a gift from Illyrio. Touch it. Come on. Feel the fabric. Mmmm. Isn’t he a gracious host?,VISERYS,e1-Winter is Coming,season-01,Game-of-Thrones,2.940871000289917,POSITIVE,viserys targaryen,,6.099754810333252,1.0
 We’ve been his guests for over a year and he’s never asked us for anything.,DAENERYS,e1-Winter is Coming,season-01,Game-of-Thrones,2.214059829711914,POSITIVE,daenerys targaryen,,2.214059829711914,1.0
" Illyrio is no fool. He knows I won’t forget my friends when I come into my throne. You still slouch. Let me see. (He pulls off her gown.) You have a woman’s body now. (She endures it as he strokes her breast.) I need you to be perfect today. Can you do that for me? You don’t want to wake the dragon, do you?",VISERYS,e1-Winter is Coming,season-01,Game-of-Thrones,2.147347211837769,POSITIVE,viserys targaryen,,8.24710202217102,1.0
 No.,DAENERYS,e1-Winter is Coming,season-01,Game-of-Thrones,3.2377028465271,NEGATIVE,daenerys targaryen,,-1.023643016815186,0.0
" When they write the history of my reign, sweet sister, they will say it began today.",VISERYS,e1-Winter is Coming,season-01,Game-of-Thrones,3.442662477493286,POSITIVE,viserys targaryen,,11.689764499664307,1.0
 Where is he?,VISERYS,e1-Winter is Coming,season-01,Game-of-Thrones,2.989021062850952,NEGATIVE,viserys targaryen,,8.700743436813354,0.6
 The Dothraki are not known for their punctuality.,ILLYRIO,e1-Winter is Coming,season-01,Game-of-Thrones,2.80312180519104,NEGATIVE,illyrio mopatis,,-2.80312180519104,-1.0
" (Greets them in Dothraki.) May I present my honored guests? Viserys of House Targaryen, the third of his name. The rightful King of the Andals and the First Men. And his sister, Daenerys, of the House Targaryen.",ILLYRIO,e1-Winter is Coming,season-01,Game-of-Thrones,2.930267572402954,POSITIVE,illyrio mopatis,,0.12714576721191406,0.0
" Come forward, my dear.",ILLYRIO,e1-Winter is Coming,season-01,Game-of-Thrones,3.685903787612915,POSITIVE,illyrio mopatis,,3.813049554824829,0.3333333333333333
 Where’s he going?,VISERYS,e1-Winter is Coming,season-01,Game-of-Thrones,2.436487436294556,NEGATIVE,viserys targaryen,,6.264256000518799,0.3333333333333333
 The ceremony is over.,ILLYRIO,e1-Winter is Coming,season-01,Game-of-Thrones,3.866460084915161,NEGATIVE,illyrio mopatis,,-0.05341053009033203,0.0
 But he didn’t say anything. Did he like her?,VISERYS,e1-Winter is Coming,season-01,Game-of-Thrones,3.1025707721710205,NEGATIVE,viserys targaryen,,3.1616852283477783,0.14285714285714285
" Trust me, Your Grace. If he didn’t like her, we’d know.",ILLYRIO,e1-Winter is Coming,season-01,Game-of-Thrones,3.0971291065216064,POSITIVE,illyrio mopatis,,3.0437185764312744,0.2
 It won’t be long now. Soon you will cross the Narrow Sea and take back your father’s throne. The people drink secret toasts to your health. They cry out for their true king.,ILLYRIO,e1-Winter is Coming,season-01,Game-of-Thrones,2.1110877990722656,POSITIVE,illyrio mopatis,,5.15480637550354,0.3333333333333333
 When will they be married?,VISERYS,e1-Winter is Coming,season-01,Game-of-Thrones,2.066910982131958,NEGATIVE,viserys targaryen,,1.0947742462158203,0.0
 Soon. The Dothraki never stay still for long.,ILLYRIO,e1-Winter is Coming,season-01,Game-of-Thrones,2.9108777046203613,NEGATIVE,illyrio mopatis,,2.2439286708831787,0.14285714285714285
 Is it true they lie with their horses?,VISERYS,e1-Winter is Coming,season-01,Game-of-Thrones,1.482904314994812,NEGATIVE,viserys targaryen,,-0.3881300687789917,-0.1111111111111111
 I wouldn’t ask Khal Drogo.,ILLYRIO,e1-Winter is Coming,season-01,Game-of-Thrones,1.634769082069397,NEGATIVE,illyrio mopatis,,0.6091595888137817,0.0
 Do you take me for a fool?,VISERYS,e1-Winter is Coming,season-01,Game-of-Thrones,3.1863036155700684,NEGATIVE,viserys targaryen,,-3.57443368434906,-0.2
 I take you for a king. Kings lack the caution of common men. My apologies if I’ve given offense.,ILLYRIO,e1-Winter is Coming,season-01,Game-of-Thrones,3.8519790172576895,NEGATIVE,illyrio mopatis,,-3.242819428443908,-0.1111111111111111
 I know how to play a man like Drogo. I give him a queen and he gives me an army.,VISERYS,e1-Winter is Coming,season-01,Game-of-Thrones,2.851520299911499,POSITIVE,viserys targaryen,,-0.722913384437561,-0.09090909090909091
" So do I. I want us both to go home. But they took it from us. So tell me, sweet sister, how do we go home?",VISERYS,e1-Winter is Coming,season-01,Game-of-Thrones,0.1371312886476516,NEGATIVE,viserys targaryen,,-0.8600446730852126,-0.16666666666666666
 I don’t know.,DAENERYS,e1-Winter is Coming,season-01,Game-of-Thrones,3.298265218734741,NEGATIVE,daenerys targaryen,,-4.321908235549927,-0.3333333333333333
